,Country,Life satisfaction,GDP per capita (USD)
0,Australia,7.3,48697.8370282475
1,Austria,7.1,51935.6038618156
2,Belgium,6.9,48210.0331113444
3,Brazil,6.4,14063.9825053838
4,Canada,7.4,45856.6256264804
5,Chile,6.5,23324.5247506509
6,Colombia,6.3,13441.4929522564
7,Denmark,7.6,55938.2128086032
8,Estonia,5.7,35638.4213511812
9,Finland,7.6,47260.800458441
10,France,6.5,42025.6173730617
11,Germany,7.0,50922.3580234484
12,Greece,5.4,27287.0834009302
13,Hungary,5.6,31007.7684065437
14,Iceland,7.5,52279.7288513646
15,Ireland,7.0,89688.9569584859
16,Israel,7.2,38341.3075704083
17,Italy,6.0,38992.1483807498
18,Latvia,5.9,29932.4939100562
19,Lithuania,5.9,36732.034744031
20,Luxembourg,6.9,110261.157353302
21,Mexico,6.5,17887.7507356971
22,Netherlands,7.4,54209.5638357302
23,New Zealand,7.3,42404.3937381567
24,Norway,7.6,63585.9035142969
25,Poland,6.1,32238.157259275
26,Portugal,5.4,32181.1545372343
27,Russia,5.8,26456.3879381321
28,Slovenia,5.9,36547.7389559849
29,South Africa,4.7,11466.189671582
30,Spain,6.3,36215.4475907307
31,Sweden,7.3,50683.3235097178
32,Switzerland,7.5,68393.306003945
33,Turkey,5.5,28384.9877846263
34,United Kingdom,6.8,41627.129269425
35,United States,6.9,60235.7284916969
